CategoryFolder,DocumentType,PageURL,FileURL,SavedLocalPath,Status,Error
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://www.adgm.com/documents/registration-authority/registration-and-incorporation/templates/incorporation-by-individual.docx,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Incorporation-by-Individual.docx",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Branch-Financial+Services+20230509.pdf/c5f462585a4411ef97f846760ad4a98b,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Branch-Financial_Services_20230509.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Branch-Non+Financial+Services+20231228.pdf/c5bd08c65a4411efb9d83a701912a93f,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Branch_-_Financial_Services_and_Non-Financial_Services.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Branch-Retail+20230509.pdf/e60ad38042a511efaac332a68361c3e7,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Branch-Retail_20230509.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Checklist+Company+Set+Up+V+1+20220530+Investment+Company+LTD+ICC.pdf/c4a459585a4411ef89c3d6ca111d780b,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Checklist_Company_Set_Up_V_1_20220530_Investment_Company_LTD_ICC.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Checklist+Company+Set+Up+V+1+20220530+Investment+Company+LTD+PCC.pdf/99b7c72a3eba11ef89eaaeb47944ff8b,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Checklist_Company_Set_Up_V_1_20220530_Investment_Company_LTD_PCC.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Checklist+Company+SetUp+V1+20220530+Investment+Company+LTD.pdf/c4acc78c5a4411ef82f4b295bac3477d,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Checklist_Company_SetUp_V1_20220530_Investment_Company_LTD.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Checklist+Registration+V1+20220509+non-exempt+foundations.pdf/d41c66044b1811efbe4cb6e25ca33f54,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Checklist_Registration_V1_20220509_non-exempt_foundations.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Checklist+Registration+V1+20220601+non-exempt+Foundations+Continuance.pdf/4bb333dc4b1911efa3604a2527d9dd90,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Checklist_Registration_V1_20220601_non-exempt_Foundations_Continuance.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Limited+Liability+Partnership+Financial+and+Non-Financial+20231228.pdf/581aa6b66b7e11efa51c0e7a9b09c175,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Limited_Liability_Partnership_-_Financial_and_Non-Financial_firms.pdf",✅ Success,
Company Formation & Governance,"General Incorporation, AoA, MoA, Registers, UBO, Board Resolutions",https://www.adgm.com/registration-authority/registration-and-incorporation,https://assets.adgm.com/download/assets/Private+Company+Limited+by+Guarantee+Non-Financial+Services+20231228.pdf/1e6186444b1a11ef94edde7a1988e667,"adgm_rag_reference_3\Company_Formation_&_Governance\General_Incorporation,_AoA,_MoA,_Registers,_UBO,_Board_Resolutions\Private_Company_Limited_by_Guarantee_Non-Financial_Services_20231228.pdf",✅ Success,
